"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5979","report generation","chromium","Wed Dec 11 12:18:14 IST 2024","passed","Wed Dec 11 12:18:20 IST 2024","","reports.spec.js","",""
"","21962","Print table rows","chromium","Wed Dec 11 12:18:21 IST 2024","passed","Wed Dec 11 12:18:43 IST 2024","","Table.spec.js","",""
"","5241","signin with user id : 2","chromium","Wed Dec 11 12:15:08 IST 2024","passed","Wed Dec 11 12:15:13 IST 2024","test data driven ","DataDrivenTest2.spec.js","",""
"","613","post request","chromium","Wed Dec 11 12:14:59 IST 2024","passed","Wed Dec 11 12:14:59 IST 2024","","ApiTest.spec.js","",""
"","1222","AutoSuggestDropDown","chromium","Wed Dec 11 12:14:56 IST 2024","failed","Wed Dec 11 12:14:57 IST 2024","","AutoSuggestDropDown.spec.js","",""
"","18942","Keyboard actions","chromium","Wed Dec 11 12:17:12 IST 2024","passed","Wed Dec 11 12:17:31 IST 2024","","KeyboardActions.spec.js","",""
"","4904","Login with user ID: 6","chromium","Wed Dec 11 12:15:26 IST 2024","passed","Wed Dec 11 12:15:31 IST 2024","Data Driven Login Page","DataDrivenTest.spec.js","",""
"","452","Test 4","chromium","Wed Dec 11 12:15:53 IST 2024","passed","Wed Dec 11 12:15:53 IST 2024","Group 2","Grouping.spec.js","",""
"","4891","Login with user ID: 8","chromium","Wed Dec 11 12:15:37 IST 2024","passed","Wed Dec 11 12:15:42 IST 2024","Data Driven Login Page","DataDrivenTest.spec.js","",""
"","4565","Home Page test","chromium","Wed Dec 11 12:16:52 IST 2024","passed","Wed Dec 11 12:16:57 IST 2024","","Hooks.spec.js","",""
"","11106","report generation 2","chromium","Wed Dec 11 12:18:24 IST 2024","passed","Wed Dec 11 12:18:35 IST 2024","","reports.spec.js","",""
"","7536","Drog and Drop","chromium","Wed Dec 11 12:15:44 IST 2024","passed","Wed Dec 11 12:15:51 IST 2024","","DragAndDrop.spec.js","",""
"","33404","Handle File Upload with Popup","chromium","Wed Dec 11 12:18:48 IST 2024","broken","Wed Dec 11 12:19:21 IST 2024","","Trace.spec.js","",""
"","25178","HandleHiddenItem","chromium","Wed Dec 11 12:16:13 IST 2024","passed","Wed Dec 11 12:16:38 IST 2024","","HandleHiddenItems.spec.js","",""
"","600","test 6","chromium","Wed Dec 11 12:14:59 IST 2024","passed","Wed Dec 11 12:14:59 IST 2024","","Annotation.spec.js","",""
"","5869","Login with user ID: 4","chromium","Wed Dec 11 12:15:19 IST 2024","passed","Wed Dec 11 12:15:25 IST 2024","Data Driven Login Page","DataDrivenTest.spec.js","",""
"","687","Update Request","chromium","Wed Dec 11 12:14:59 IST 2024","passed","Wed Dec 11 12:15:00 IST 2024","","ApiTest.spec.js","",""
"","702","test 7 - Chromium","chromium","Wed Dec 11 12:14:59 IST 2024","passed","Wed Dec 11 12:15:00 IST 2024","","Annotation.spec.js","",""
"","728","test1@sanity","chromium","Wed Dec 11 12:18:44 IST 2024","passed","Wed Dec 11 12:18:45 IST 2024","","Tagging.spec.js","",""
"","6123","ScreenShort","chromium","Wed Dec 11 12:18:20 IST 2024","passed","Wed Dec 11 12:18:26 IST 2024","","ScreenShort.spec.js","",""
"","36141","Handle File Upload with Popup","chromium","Wed Dec 11 12:17:11 IST 2024","broken","Wed Dec 11 12:17:47 IST 2024","","justautomate.spec.js","",""
"","35966","Upload file 1","chromium","Wed Dec 11 12:15:08 IST 2024","broken","Wed Dec 11 12:15:44 IST 2024","Data-driven file upload","DataDrivenTest3.spec.js","",""
"","6299","test","chromium","Wed Dec 11 12:15:43 IST 2024","passed","Wed Dec 11 12:15:49 IST 2024","","demosave.spec.js","",""
